tweet_id,tweet_date,tweet_source,tweet_text,tweet_user,tweet_favorites,tweet_retweets,
1.27E+18,19-06-2020 06:59,Twitter for Android,Bullshit China!...#China #IndiaWillPunishChina #fridaymorning #FridayThoughts #FridayMotivation #BharatVsChina… https://t.co/lxS5LRWQdk,thisisparwinder,5,0,
,,,,,,,
1.27E+18,19-06-2020 06:50,Twitter for Android,"The real issues are :

1) Covid19 Pandemic
2) India &amp; China Border standoff in which 20 were killed, 10 were captiv… https://t.co/jY0KWnmZ2g",matthewthedj,0,0,
,,,,,,,
1.27E+18,19-06-2020 06:29,Twitter for Android,"RT @techgalena: Let's Boycott Together ..
.
.
.
Follow @techgalena  for more updates .
.
.
.
#BoycottChineseProducts #boycottchineseapps #a…",techgalena,0,2,
,,,,,,,
1.27E+18,19-06-2020 06:11,Twitter for Android,"RT @MotiRajpurohi11: Decision is in your hand what do you need ""saamaan or samman"" ?
Support India we need respect.
#SammanVsSaamaan
#zeene…",Sanjay6377,0,1,
,,,,,,,
1.27E+18,19-06-2020 05:58,Twitter for Android,This kiss will always be remembered in history. This is the last kiss of Kareena Kapoor and Aamir Khan at this plac… https://t.co/wTV67R7LOl,MianKhizer72,0,0,
,,,,,,,
1.27E+18,19-06-2020 05:35,Twitter Web App,"#indiavschina: BJP workers mistakenly burn #KimJongUn  effigy in protest
https://t.co/QGs5wbBE2q",udayavani_web,2,0,
,,,,,,,
1.27E+18,19-06-2020 05:27,Instagram,"Do we demand for Surgical strike on China or continue with uninstalling Tiktok?

#indiavschina 
#surgicalstrike… https://t.co/xk7fuSjB8G",MarvelousTandur,1,0,
,,,,,,,
1.27E+18,19-06-2020 05:03,Twitter for iPhone,“China’s behavior is raising tensions and creating an opportunity for U.S. diplomacy” says the Wall Street Journal… https://t.co/5cXtg4I5Ak,abhinandan_ks,0,0,
,,,,,,,
1.27E+18,19-06-2020 04:59,Twitter for Android,"RT @TheKreativeMess: 👍 Yaa vs Naa 👎 !! A different perspective for the on going trend! 😆
..
#indiavschina #indiachinaborder #MakeInIndia #m…",nithinroyz,0,1,
,,,,,,,
1.27E+18,19-06-2020 04:59,Twitter for Android,"👍 Yaa vs Naa 👎 !! A different perspective for the on going trend! 😆
..
#indiavschina #indiachinaborder #MakeInIndia… https://t.co/EoXHCmiXLJ",TheKreativeMess,4,1,
,,,,,,,
1.27E+18,19-06-2020 04:55,Twitter for Android,"RT @PayalNeve: #ChineseProductsInDustbin   Reminder for all of us, half an hour to go, do participate in this trend as we know #indiavschin…",drniteenk07,0,141,
,,,,,,,
1.27E+18,19-06-2020 04:51,Twitter for iPhone,"To all those who are saying about war with china NDA and AFCAT forms are out, CDS forms will be available in August… https://t.co/dLMjWBULOf",flying_dagger7,0,0,
,,,,,,,
1.27E+18,19-06-2020 04:49,Twitter Web App,"Do launch accessories as well like powerbanks, connectors, wired/wireless, true wireless earbuds with charging case… https://t.co/ftIyGNejbr",lkyashu,0,0,
,,,,,,,
1.27E+18,19-06-2020 04:45,Twitter for iPhone,RT @AardeeKing: Our men are already in Moscow! We are going for a kill from all sides! Save my words india will emerge victorious! Don’t ce…,Heart_Beat_24X7,0,10,
,,,,,,,
1.27E+18,19-06-2020 04:25,Twitter for Android,After all this ...still we need to urge our countrymans to #BoycottChineseProducts ...we cant go to border but stil… https://t.co/orC9vsCo75,Anand_aviator,1,0,
,,,,,,,
1.27E+18,19-06-2020 03:53,Twitter Web App,#IndiaVsChina ladakh-Galwan valley fight| India-China's International Bl... https://t.co/QmSlLGT7Ic via @YouTube… https://t.co/P0YJT7wixw,Revathy16410506,0,0,
,,,,,,,
1.27E+18,19-06-2020 03:51,Twitter for Android,"#HindiCheeniByeBye
Delete chinese apps..
Use Indian products
#Indiavschina
#IndiansAgainstTikTok… https://t.co/9t4ybzURG1",Sakshis23544598,2,0,
,,,,,,,
1.27E+18,19-06-2020 03:44,Twitter Web App,@republic India should retaliate by showing Nepal as 29th state of India &amp; announce state elections with Bihar.… https://t.co/AYqWPQXbql,Khwabida_vyanki,1,0,
,,,,,,,
1.27E+18,19-06-2020 03:12,Twitter for Android,"If you want to know which countries will be openly on our side, just see which countries has offered condolences on… https://t.co/WKyrgikjAU",iPraksy,5,0,
,,,,,,,
1.27E+18,19-06-2020 02:31,Twitter for Android,"RT @DaisySoni363: India wants peace, but is also able to respond appropriately on provocation.
#IndiaChinaFaceOff #indiavschina #ModiStrong…",The_Happy_B0Y,0,1,
,,,,,,,
1.27E+18,19-06-2020 02:10,Twitter for Android,"RT @PayalNeve: #ChineseProductsInDustbin   Reminder for all of us, half an hour to go, do participate in this trend as we know #indiavschin…",ajayakambale,0,141,
,,,,,,,
1.27E+18,19-06-2020 01:43,Twitter for iPhone,I can't control my emotions because here all the people against to nature no one respect what’s your opinion… https://t.co/KuQyIAwbrA,Common_Man_Dina,0,0,
,,,,,,,
1.27E+18,19-06-2020 00:59,Sumanerts,RT @STRANGE64022201: How INDIA losing its Neighbors one by one | How INDIA losing SRI LANKA  #IndiaWantsSurpriseAgain #srilanka  #IndiaWill…,sumanebot,0,7,
,,,,,,,
1.27E+18,19-06-2020 00:52,Twitter for Android,T2-At least now stand up for your army and your country. Not for Modi or this Govt. (after Ladakh clash now Galwan… https://t.co/O0J7FeCsE0,Maq07311862,0,0,
,,,,,,,
